seqlen,a8w8,f8e4m3,nf4,WOi4,WOi8,WOmxfp4,WOnf4
1,12.52,6.54,9.02,8.55,6.68,8.25,9.62
2,24.97,13.09,13.43,11.59,11.66,12.55,13.92
4,49.35,25.75,19.44,18.22,20.38,19.97,20.37
8,96.34,50.31,36.2,38.96,34.47,30.29,37.01
16,184.38,96.22,62.16,69.07,64.82,55.8,63.43
32,287.7,155.02,111.44,128.26,123.17,101.6,115.72
64,428.28,237.46,179.9,192.6,189.32,154.04,186.58
128,460.34,290.26,253.29,259.73,267.63,233.26,267.43
256,507.55,292.87,258.95,268.94,274.01,238.64,272.9
512,499.7,292.55,260.05,275.89,281.29,255.81,281.41
1024,402.61,263.07,228.19,268.37,270.61,255.98,268.34
2048,292.11,212.91,188.37,241.67,241.98,233.22,178.44
4096,172.01,146.81,130.24,190.68,190.93,186.42,188.67
8192,95.43,82.9,80.67,121.17,126.08,124.16,125.08
16384,45.09,39.02,38.73,68.67,66.09,70.1,69.4
